Year,Days,DesignBuilder_kWh,Model_kWh,Daily_MAPE_pct,Error_kWh,Pct_Error,DesignBuilder_MWh,Model_MWh,Error_MWh
2020,365,1617459.765743,1635491.127938,36.804497049804766,18031.362195000052,1.1147950988887272,1617.459765743,1635.491127938,18.031362195000053
2021,365,1615901.9949689999,1637616.954346,36.51198704158147,21714.95937700011,1.343828984963701,1615.9019949689998,1637.616954346,21.71495937700011
2022,365,1615997.054668,1639076.368585,36.98563798985276,23079.31391700008,1.4281779691573528,1615.997054668,1639.076368585,23.07931391700008
2023,365,1620147.918074,1641237.556758,37.49281753865515,21089.63868400012,1.301710692507081,1620.147918074,1641.237556758,21.08963868400012
2024,365,1622110.379467,1643404.861698,37.726983094872196,21294.482230999973,1.312764069606472,1622.110379467,1643.404861698,21.29448223099997
